"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight"
"6bcd49af023f477bbf37","SL",50,-30,1,"Distance","2746.99000001419",20,"feet",0,2390.40000003297,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",75,-20,1,"Distance","3440.04000001587",30,"feet",0,2381.25500001479,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",50,-20,3,"Distance","2797.32000001241",20,"feet",0,2148.9049999509,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",75,-10,3,"Distance","2735.45999999624",30,"feet",0,2443.70499998331,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",15,-30,3,"Distance","2777.4699999718",10,"feet",0,2491.57000007108,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",15,-30,3,"Heading","2723.28000003472",10,"",0,2651.10000001732,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,0,1,"Heading","2542.52499993891",30,"",0,1646.3549999753,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",150,-30,6,"Distance","2747.92500003241",50,"feet",0,2377.64500000048,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,-10,3,"Heading","2587.034999975",40,"",0,2501.80500000715,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",200,0,3,"Distance","3987.59999999311",70,"feet",0,5162.83999988809,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,-20,1,"Heading","4016.00499998312",20,"",0,387759.545000037,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",50,-10,6,"Distance","2797.58000001311",30,"feet",0,2606.33500001859,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,-20,3,"Heading","3038.97999995388",30,"",0,6639.48499993421,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",75,-20,3,"Heading","6578.30000005197",3030,"",0,2909.1849999968,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",15,0,1,"Heading","4614.67999999877",10,"",0,2659.645000007,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
