"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight","dist_meters","estimate_err"
"sub12","WL",100,-30,1,"Number","1828",1,"",0,0,1687,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",50,-20,1,"Number","1809",1,"",0,0,2988,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",100,-10,1,"Number","1924",1,"",0,0,1771,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",150,-20,3,"Number","2001",3,"",0,0,1586,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",25,-30,6,"Number","1844",6,"",0,0,2599,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",150,-30,1,"Number","1709",1,"",0,0,1442,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",100,0,6,"Number","1854",5,"",0,0,3683,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",150,0,6,"Number","1869",5,"",0,0,3592,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,5,-1
"sub12","WL",150,-20,6,"Number","2027",6,"",0,0,3286,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,6,0
"sub12","WL",200,-30,3,"Number","1989",3,"",0,0,8293,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub12","WL",15,-30,1,"Number","1579",1,"",0,0,1432,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,1,0
"sub12","WL",15,-10,3,"Number","1876",3,"",0,0,1370,NA,NA,NA,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0",1312,800,3,0
"sub15","SL",200,-10,6,"Number","6213.54499994777",26,"",0,1469.11000018008,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,26,20
